timestamps,X,Y,Z,IR,RED
2.3868,-0.161131,-0.091074,0.983799,125072,101699
2.4336,-0.171139,-0.091074,0.954776,124699,101560
2.4804,-0.175142,-0.096078,0.952774,124731,101603
2.5272,-0.189154,-0.096078,0.940764,124879,101689
2.574,-0.175142,-0.087071,0.966785,124948,101752
2.6208,-0.17214,-0.095077,0.94777,125089,101776
2.6676,-0.157128,-0.093076,0.966785,125129,101819
2.7144,-0.175142,-0.094076,0.951773,125137,101839
2.7612,-0.17214,-0.090073,0.975793,125129,101789
2.808,-0.167136,-0.089072,0.95978,125583,102064
2.8548,-0.162132,-0.088072,0.966785,125764,102062
2.9016,-0.165134,-0.091074,0.962782,125873,102116
