timestamps,IR,RED
13.806,123941,101374
13.8528,124063,101416
13.8996,124265,101439
13.9464,124343,101422
13.9932,124276,101418
14.04,124495,101614
14.0868,124777,101641
14.1336,124987,101718
14.1804,125103,101821
14.2272,125167,101875
14.274,125252,101912
14.3208,125384,101866
14.3676,125519,101781
14.4144,124631,101387
14.4612,123855,101295
14.508,124040,101403
14.5548,124087,101446
14.6016,124287,101538
14.6484,124353,101536
14.6952,124327,101453
14.742,124267,101528
14.7888,124432,101605
14.8356,124630,101671
14.8824,124837,101752
14.9292,125056,101847
14.976,125345,101929
15.0228,125478,101928
15.0696,125672,101926
15.1164,124988,101529
15.1632,123991,101297
15.21,123834,101282
15.2568,123966,101398
15.3036,124147,101464
15.3504,124249,101512
15.3972,124423,101597
15.444,124412,101544
15.4908,124567,101550
15.5376,124774,101707
15.5844,124973,101743
15.6312,125183,101863
15.678,125408,101867
15.7248,125405,101940
15.7716,125530,102000
15.8184,125742,101999
15.8652,125629,101818
15.912,123930,101380
15.9588,124103,101452
16.0056,124304,101532
16.0524,124488,101535
16.0992,124655,101617
16.146,124649,101577
16.1928,124512,101618
16.2396,124660,101593
16.2864,124847,101722
16.3332,125076,101890
16.38,125630,101991
16.4268,125727,102058
16.4736,125944,102104
16.5204,126132,102142
16.5672,125257,101551
16.614,124188,101312
16.6608,124079,101352
16.7076,124224,101516
16.7544,124500,101609
16.8012,124686,101688
16.848,124775,101591
16.8948,124642,101651
16.9416,124786,101731
16.9884,125038,101818
17.0352,125385,101876
17.082,125595,101951
17.1288,125706,102084
17.1756,125847,102128
17.2224,125953,102052
17.2692,125096,101480
17.316,124126,101412
17.3628,124290,101520
17.4096,124511,101550
17.4564,124732,101581
17.5032,124669,101615
17.55,124598,101593
17.5968,124574,101626
17.6436,124694,101695
17.6904,124934,101729
17.7372,125160,101797
17.784,125517,101901
17.8308,125666,101868
17.8776,124858,101447
17.9244,123983,101290
17.9712,123960,101289
18.018,124141,101380
18.0648,124271,101482
18.1116,124371,101551
18.1584,124499,101478
18.2052,124453,101524
18.252,124504,101571
18.2988,124684,101646
18.3456,124858,101708
18.3924,125028,101704
18.4392,125127,101747
18.486,125159,101813
18.5328,125250,101780
18.5796,124709,101367
18.6264,123975,101192
18.6732,123850,101227
18.72,124209,101395
18.7668,124248,101426
18.8136,124244,101387
18.8604,124226,101440
18.9072,124306,101403
18.954,124431,101468
19.0008,124484,101551
19.0476,124679,101633
19.0944,124838,101645
19.1412,124852,101654
19.188,125035,101551
19.2348,124361,101241
19.2816,123723,101160
19.3284,123737,101246
19.3752,123952,101269
19.422,124040,101314
19.4688,124151,101297
19.5156,124228,101332
19.5624,124160,101322
19.6092,124144,101313
19.656,124502,101471
19.7028,124550,101535
19.7496,124636,101555
19.7964,124719,101545
19.8432,124816,101552
19.89,124868,101586
19.9368,124737,101359
19.9836,123914,101113
20.0304,123615,101108
20.0772,123671,101176
20.124,123978,101294
20.1708,124064,101217
20.2176,124041,101202
20.2644,124006,101206
20.3112,123986,101278
20.358,124131,101342
20.4048,124272,101374
20.4516,124334,101388
20.4984,124417,101428
20.5452,124488,101396
20.592,123944,101053
20.6388,123443,101002
20.6856,123476,101035
20.7324,123634,101027
20.7792,123730,101096
20.826,123731,101090
20.8728,123777,101130
20.9196,123781,101080
20.9664,123769,101036
21.0132,123842,101133
21.06,124061,101195
21.1068,124177,101187
21.1536,124159,101247
21.2004,124241,101265
21.2472,124323,101144
21.294,123782,100911
21.3408,123307,100770
21.3876,123300,100820
21.4344,123382,100867
21.4812,123342,100891
21.528,123485,100956
21.5748,123478,100934
21.6216,123491,100957
21.6684,123601,100952
21.7152,123727,100997
21.762,123782,101012
21.8088,123911,101015
21.8556,123950,101049
21.9024,123968,101094
21.9492,124046,101126
21.996,123314,100722
22.0428,123022,100687
22.0896,123010,100733
22.1364,123126,100791
22.1832,123197,100741
22.23,123246,100779
22.2768,123316,100753
22.3236,123315,100750
22.3704,123318,100799
22.4172,123357,100896
22.464,123636,100983
22.5108,123742,101026
22.5576,123828,101040
22.6044,123874,101092
22.6512,123968,101127
22.698,124069,101186
22.7448,124218,101152
22.7916,123682,100777
22.8384,123047,100584
22.8852,122952,100627
22.932,123157,100755
22.9788,123238,100833
23.0256,123288,100826
23.0724,123270,100798
23.1192,123301,100758
23.166,123358,100858
23.2128,123515,100916
23.2596,123645,101025
23.3064,123746,101045
23.3532,123852,101049
23.4,124019,101045
23.4468,124154,101149
23.4936,124238,101196
23.5404,123772,100798
23.5872,123009,100680
23.634,122936,100720
23.6808,123071,100714
23.7276,123130,100714
23.7744,123233,100769
23.8212,123343,100795
23.868,123287,100822
23.9148,123321,100862
23.9616,123521,100940
24.0084,123664,100992
24.0552,123782,101053
24.102,123880,101091
24.1488,123912,101083
24.1956,124011,101136
24.2424,124162,101151
24.2892,124228,101148
24.336,122944,100698
24.3828,123027,100774
24.4296,123174,100742
24.4764,123176,100778
24.5232,123289,100830
24.57,123324,100841
24.6168,123327,100821
24.6636,123327,100823
24.7104,123477,100880
24.7572,123648,100956
24.804,124048,101080
24.8508,124127,101139
24.8976,124189,101140
24.9444,124316,101189
24.9912,124468,101305
25.038,124558,101116
25.0848,123559,100745
25.1316,123029,100643
25.1784,123030,100691
25.2252,123195,100790
25.272,123431,100829
25.3188,123410,100835
25.3656,123429,100871
25.4124,123406,100909
25.4592,123634,100997
25.506,123778,101091
25.5528,123976,101151
25.5996,124149,101201
25.6464,124269,101237
25.6932,124349,101256
25.74,124779,101391
25.7868,124443,101051
25.8336,123308,100746
25.8804,123074,100799
25.9272,123211,100882
25.974,123376,100890
26.0208,123439,100963
26.0676,123568,100976
26.1144,123651,100995
26.1612,123597,101005
26.208,123879,101146
26.2548,124138,101157
26.3016,124284,101287
26.3484,124503,101341
26.3952,124651,101376
26.442,124773,101390
26.4888,124908,101401
26.5356,124955,101526
26.5824,125177,101539
26.6292,124630,100971
26.676,123317,100870
26.7228,123488,100976
26.7696,123678,101055
26.8164,123815,101050
26.8632,123932,101060
26.91,123837,101073
26.9568,123795,101073
27.0036,123902,101124
27.0504,124062,101230
27.0972,124387,101352
27.144,124935,101472
27.1908,125089,101526
