timestamps,X,Y,Z,activities
6.2244,-0.171139,-0.089072,0.954776,2
6.2712,-0.174141,-0.093076,0.955777,2
6.318,-0.175142,-0.090073,0.944768,2
6.3648,-0.167136,-0.094076,0.970789,2
6.4116,-0.166135,-0.093076,0.965785,2
6.4584,-0.16013,-0.085069,0.961781,2
6.5052,-0.166135,-0.087071,0.960781,2
6.552,-0.173141,-0.094076,0.961781,2
6.5988,-0.170138,-0.095077,0.974792,2
6.6456,-0.168137,-0.091074,0.964784,2
6.6924,-0.168137,-0.080065,0.973791,2
6.7392,-0.182148,-0.091074,0.950773,2
6.786,-0.161131,-0.084068,0.97279,2
6.8328,-0.17214,-0.089072,0.948771,2
6.8796,-0.164133,-0.093076,0.968787,2
6.9264,-0.165134,-0.077063,0.987803,2
6.9732,-0.168137,-0.081066,0.969788,2
7.02,-0.173141,-0.095077,0.958779,2
7.0668,-0.179146,-0.092075,0.962782,2
7.1136,-0.180146,-0.093076,0.963783,2
7.1604,-0.18515,-0.091074,0.964784,2
7.2072,-0.179146,-0.085069,0.949772,2
7.254,-0.174141,-0.090073,0.956777,2
7.3008,-0.167136,-0.087071,0.973791,2
7.3476,-0.173141,-0.091074,0.950773,2
7.3944,-0.170138,-0.090073,0.955777,2
7.4412,-0.152124,-0.087071,0.95978,2
7.488,-0.169137,-0.090073,0.963783,2
7.5348,-0.14812,-0.088072,0.967786,2
7.5816,-0.157128,-0.091074,0.965785,2
7.6284,-0.168137,-0.093076,0.949772,2
7.6752,-0.181147,-0.094076,0.958779,2
7.722,-0.162132,-0.081066,0.966785,2
7.7688,-0.179146,-0.091074,0.94777,2
7.8156,-0.167136,-0.091074,0.955777,2
7.8624,-0.179146,-0.095077,0.942766,2
7.9092,-0.173141,-0.094076,0.940764,2
7.956,-0.170138,-0.089072,0.964784,2
8.0028,-0.177144,-0.087071,0.976794,2
8.0496,-0.176143,-0.092075,0.963783,2
8.0964,-0.175142,-0.095077,0.957778,2
8.1432,-0.175142,-0.091074,0.937762,2
8.19,-0.165134,-0.092075,0.981798,2
8.2368,-0.166135,-0.088072,0.97279,2
8.2836,-0.182148,-0.094076,0.950773,2
8.3304,-0.164133,-0.090073,0.953775,2
8.3772,-0.17214,-0.093076,0.946769,2
8.424,-0.167136,-0.088072,0.961781,2
8.4708,-0.171139,-0.087071,0.973791,2
8.5176,-0.176143,-0.094076,0.946769,2
8.5644,-0.165134,-0.087071,0.964784,2
8.6112,-0.165134,-0.087071,0.970789,2
8.658,-0.180146,-0.093076,0.963783,2
8.7048,-0.178145,-0.092075,0.958779,2
8.7516,-0.169137,-0.08607,0.962782,2
8.7984,-0.175142,-0.089072,0.943767,2
8.8452,-0.16013,-0.090073,0.953775,2
8.892,-0.169137,-0.094076,0.963783,2
8.9388,-0.169137,-0.090073,0.961781,2
8.9856,-0.165134,-0.090073,0.965785,2
9.0324,-0.168137,-0.090073,0.961781,2
9.0792,-0.174141,-0.095077,0.977794,2
9.126,-0.182148,-0.097079,0.931757,2
9.1728,-0.186151,-0.091074,0.957778,2
9.2196,-0.179146,-0.093076,0.946769,2
9.2664,-0.168137,-0.089072,0.944768,2
9.3132,-0.181147,-0.091074,0.944768,2
9.36,-0.166135,-0.091074,0.962782,2
9.4068,-0.176143,-0.092075,0.949772,2
9.4536,-0.186151,-0.094076,0.936761,2
9.5004,-0.168137,-0.092075,0.956777,2
9.5472,-0.165134,-0.091074,0.94777,2
9.594,-0.161131,-0.088072,0.969788,2
9.6408,-0.161131,-0.091074,0.958779,2
9.6876,-0.157128,-0.090073,0.960781,2
9.7344,-0.164133,-0.08607,0.963783,2
9.7812,-0.156127,-0.087071,0.964784,2
9.828,-0.168137,-0.089072,0.962782,2
9.8748,-0.161131,-0.087071,0.95978,2
9.9216,-0.170138,-0.090073,0.958779,2
9.9684,-0.163133,-0.092075,0.952774,2
10.0152,-0.171139,-0.091074,0.963783,2
10.062,-0.176143,-0.092075,0.955777,2
10.1088,-0.179146,-0.094076,0.942766,2
10.1556,-0.171139,-0.090073,0.966785,2
10.2024,-0.164133,-0.089072,0.958779,2
10.2492,-0.187152,-0.100081,0.953775,2
10.296,-0.171139,-0.090073,0.962782,2
10.3428,-0.173141,-0.087071,0.958779,2
10.3896,-0.163133,-0.084068,0.985801,2
10.4364,-0.175142,-0.095077,0.945768,2
10.4832,-0.163133,-0.092075,0.954776,2
10.53,-0.163133,-0.095077,0.961781,2
10.5768,-0.170138,-0.094076,0.94777,2
10.6236,-0.166135,-0.092075,0.963783,2
10.6704,-0.179146,-0.092075,0.957778,2
10.7172,-0.170138,-0.090073,0.964784,2
10.764,-0.165134,-0.088072,0.95978,2
10.8108,-0.162132,-0.090073,0.955777,2
10.8576,-0.170138,-0.09808,0.958779,2
10.9044,-0.16013,-0.08607,0.987803,2
10.9512,-0.159129,-0.085069,0.973791,2
10.998,-0.176143,-0.092075,0.957778,2
11.0448,-0.171139,-0.093076,0.962782,2
11.0916,-0.169137,-0.088072,0.969788,2
11.1384,-0.170138,-0.087071,0.982799,2
11.1852,-0.158128,-0.08607,0.974792,2
11.232,-0.165134,-0.090073,0.957778,2
11.2788,-0.169137,-0.084068,0.952774,2
11.3256,-0.150122,-0.087071,0.962782,2
11.3724,-0.140114,-0.076062,0.981798,2
11.4192,-0.165134,-0.091074,0.983799,2
11.466,-0.171139,-0.089072,0.945768,2
11.5128,-0.165134,-0.088072,0.953775,2
11.5596,-0.166135,-0.093076,0.956777,2
11.6064,-0.176143,-0.088072,0.945768,2
11.6532,-0.175142,-0.095077,0.937762,2
11.7,-0.170138,-0.092075,0.963783,2
11.7468,-0.171139,-0.091074,0.962782,2
11.7936,-0.156127,-0.089072,0.992807,2
11.8404,-0.167136,-0.092075,0.978795,2
11.8872,-0.167136,-0.091074,0.95978,2
11.934,-0.154125,-0.079064,0.978795,2
11.9808,-0.163133,-0.083067,0.990805,2
12.0276,-0.173141,-0.090073,0.957778,2
12.0744,-0.166135,-0.092075,0.950773,2
12.1212,-0.167136,-0.093076,0.951773,2
12.168,-0.167136,-0.089072,0.95978,2
12.2148,-0.162132,-0.085069,0.966785,2
12.2616,-0.156127,-0.082067,0.969788,2
12.3084,-0.168137,-0.087071,0.960781,2
12.3552,-0.168137,-0.083067,0.956777,2
12.402,-0.170138,-0.088072,0.95978,2
12.4488,-0.173141,-0.087071,0.964784,2
12.4956,-0.16013,-0.084068,0.994808,2
12.5424,-0.173141,-0.082067,0.978795,2
12.5892,-0.173141,-0.092075,0.988803,2
12.636,-0.17214,-0.094076,0.963783,2
12.6828,-0.181147,-0.095077,0.936761,2
12.7296,-0.161131,-0.087071,0.958779,2
12.7764,-0.167136,-0.08607,0.973791,2
12.8232,-0.167136,-0.089072,0.966785,2
12.87,-0.170138,-0.093076,0.95978,2
12.9168,-0.157128,-0.087071,0.991806,2
12.9636,-0.161131,-0.091074,0.961781,2
13.0104,-0.159129,-0.089072,0.987803,2
13.0572,-0.158128,-0.087071,0.991806,2
13.104,-0.168137,-0.089072,0.961781,2
13.1508,-0.164133,-0.08607,0.953775,2
13.1976,-0.161131,-0.087071,0.968787,2
13.2444,-0.156127,-0.085069,1.003816,2
13.2912,-0.159129,-0.087071,0.977794,2
