time(second),IR,RED,,,,,,,,,
3.34,216612,228318,,,,,,,,,
3.36,216506,228344,,,,,,,,,
3.38,216637,228358,,,,,,,,,
3.4,216563,228404,,,,,,,,,
3.42,216665,228406,,,,,,,,,
3.44,216569,228436,,,,,,,,,
3.46,216673,228407,,,,,,,,,
3.48,216570,228433,,,,,,,,,
3.5,216669,228461,,,,,,,,,
3.52,216613,228471,,,,,,,,,
3.54,216683,228562,,,,,,,,,
3.56,216624,228596,,,,,,,,,
3.58,216719,228662,,,,,,,,,
3.6,216778,228655,,,,,,,,,
3.62,216667,228862,,,,,,,,,
3.64,216893,228801,,,,,,,,,
3.66,216741,228860,,,,,,,,,
3.68,216841,228940,,,,,,,,,
3.7,216813,228981,,,,,,,,,
3.72,216831,229177,,,,,,,,,
3.74,217004,229095,,,,,,,,,
3.76,216891,229190,,,,,,,,,
3.78,216899,229179,,,,,,,,,
3.8,216956,229288,,,,,,,,,
3.82,216910,229338,,,,,,,,,
3.84,216965,229405,,,,,,,,,
3.86,217014,229464,,,,,,,,,
3.88,216948,229565,,,,,,,,,
3.9,217030,229590,,,,,,,,,
3.92,217113,229660,,,,,,,,,
3.94,217003,229737,,,,,,,,,
3.96,217086,229757,,,,,,,,,
3.98,217192,229884,,,,,,,,,
4,217092,229979,,,,,,,,,
4.02,217173,229964,,,,,,,,,
4.04,217299,230086,,,,,,,,,
4.06,217138,230081,,,,,,,,,
4.08,217189,229972,,,,,,,,,
4.1,217271,229715,,,,,,,,,
4.12,217062,229480,,,,,,,,,
4.14,216936,229328,,,,,,,,,
4.16,217012,228941,,,,,,,,,
4.18,216823,228755,,,,,,,,,
4.2,216732,228584,,,,,,,,,
4.22,216855,228414,,,,,,,,,
4.24,216640,228307,,,,,,,,,
4.26,216606,228291,,,,,,,,,
4.28,216738,228070,,,,,,,,,
4.3,216591,228087,,,,,,,,,
4.32,216632,228090,,,,,,,,,
4.34,216625,228166,,,,,,,,,
