time(second),IR,RED,,,,,,,,,
14.38,216977,228625,,,,,,,,,
14.4,216871,228685,,,,,,,,,
14.42,217002,228680,,,,,,,,,
14.44,217034,228673,,,,,,,,,
14.46,216981,228880,,,,,,,,,
14.48,217163,228810,,,,,,,,,
14.5,216992,228870,,,,,,,,,
14.52,217113,228870,,,,,,,,,
14.54,217021,228970,,,,,,,,,
14.56,217088,228988,,,,,,,,,
14.58,217182,229080,,,,,,,,,
14.6,217094,229100,,,,,,,,,
14.62,217208,229163,,,,,,,,,
14.64,217213,229185,,,,,,,,,
14.66,217238,229297,,,,,,,,,
14.68,217328,229349,,,,,,,,,
14.7,217239,229299,,,,,,,,,
14.72,217266,229428,,,,,,,,,
14.74,217334,229482,,,,,,,,,
14.76,217336,229514,,,,,,,,,
14.78,217311,229615,,,,,,,,,
14.8,217407,229700,,,,,,,,,
14.82,217401,229657,,,,,,,,,
14.84,217408,229790,,,,,,,,,
14.86,217487,229859,,,,,,,,,
14.88,217472,229932,,,,,,,,,
14.9,217451,229918,,,,,,,,,
14.92,217537,230035,,,,,,,,,
14.94,217541,230104,,,,,,,,,
14.96,217502,230146,,,,,,,,,
14.98,217594,230208,,,,,,,,,
15,217623,230293,,,,,,,,,
15.02,217588,230318,,,,,,,,,
15.04,217663,230338,,,,,,,,,
15.06,217658,230299,,,,,,,,,
15.08,217572,230140,,,,,,,,,
15.1,217528,229817,,,,,,,,,
15.12,217508,229603,,,,,,,,,
15.14,217308,229389,,,,,,,,,
15.16,217283,229102,,,,,,,,,
15.18,217311,228984,,,,,,,,,
15.2,217120,228824,,,,,,,,,
15.22,217123,228609,,,,,,,,,
15.24,217157,228476,,,,,,,,,
15.26,216963,228381,,,,,,,,,
15.28,217036,228277,,,,,,,,,
15.3,216835,228272,,,,,,,,,
15.32,217039,228280,,,,,,,,,
15.34,216918,228331,,,,,,,,,
15.36,217058,228317,,,,,,,,,
15.38,216899,228338,,,,,,,,,
15.4,217066,228318,,,,,,,,,
15.42,216940,228336,,,,,,,,,
15.44,217043,228332,,,,,,,,,
15.46,216975,228337,,,,,,,,,
15.48,217059,228355,,,,,,,,,
15.5,217101,228361,,,,,,,,,
15.52,217062,228442,,,,,,,,,
15.54,217240,228486,,,,,,,,,
15.56,217076,228541,,,,,,,,,
15.58,217206,228543,,,,,,,,,
15.6,217178,228636,,,,,,,,,
15.62,217203,228653,,,,,,,,,
15.64,217228,228651,,,,,,,,,
15.66,217192,228790,,,,,,,,,
15.68,217335,228756,,,,,,,,,
15.7,217288,228854,,,,,,,,,
15.72,217275,228976,,,,,,,,,
15.74,217419,228944,,,,,,,,,
15.76,217347,229025,,,,,,,,,
15.78,217323,229160,,,,,,,,,
15.8,217518,229132,,,,,,,,,
15.82,217370,229217,,,,,,,,,
15.84,217408,229374,,,,,,,,,
15.86,217580,229283,,,,,,,,,
15.88,217521,229401,,,,,,,,,
15.9,217489,229529,,,,,,,,,
15.92,217627,229537,,,,,,,,,
15.94,217501,229586,,,,,,,,,
15.96,217540,229730,,,,,,,,,
15.98,217700,229630,,,,,,,,,
16,217632,229754,,,,,,,,,
16.02,217584,229895,,,,,,,,,
16.04,217761,229897,,,,,,,,,
16.06,217654,229923,,,,,,,,,
16.08,217707,230081,,,,,,,,,
16.1,217782,230096,,,,,,,,,
16.12,217755,230083,,,,,,,,,
16.14,217746,230163,,,,,,,,,
16.16,217830,229981,,,,,,,,,
16.18,217656,229690,,,,,,,,,
16.2,217590,229476,,,,,,,,,
16.22,217546,229178,,,,,,,,,
16.24,217396,228915,,,,,,,,,
16.26,217328,228779,,,,,,,,,
16.28,217324,228592,,,,,,,,,
16.3,217203,228340,,,,,,,,,
16.32,217177,228265,,,,,,,,,
16.34,217198,228085,,,,,,,,,
16.36,217068,227961,,,,,,,,,
16.38,217031,227926,,,,,,,,,
16.4,217127,227920,,,,,,,,,
16.42,217024,227955,,,,,,,,,
16.44,217142,227955,,,,,,,,,
16.46,217069,227972,,,,,,,,,
16.48,217235,227963,,,,,,,,,
16.5,217011,227963,,,,,,,,,
16.52,217206,227964,,,,,,,,,
16.54,216987,228044,,,,,,,,,
16.56,217217,228074,,,,,,,,,
16.58,217066,228152,,,,,,,,,
16.6,217231,228114,,,,,,,,,
16.62,217093,228125,,,,,,,,,
16.64,217181,228232,,,,,,,,,
16.66,217127,228286,,,,,,,,,
16.68,217210,228321,,,,,,,,,
16.7,217240,228286,,,,,,,,,
16.72,217206,228466,,,,,,,,,
16.74,217369,228430,,,,,,,,,
16.76,217224,228540,,,,,,,,,
16.78,217314,228565,,,,,,,,,
16.8,217354,228597,,,,,,,,,
16.82,217334,228715,,,,,,,,,
16.84,217449,228704,,,,,,,,,
16.86,217396,228784,,,,,,,,,
16.88,217397,228970,,,,,,,,,
16.9,217551,228837,,,,,,,,,
16.92,217495,228997,,,,,,,,,
16.94,217447,229144,,,,,,,,,
16.96,217620,229088,,,,,,,,,
16.98,217529,229131,,,,,,,,,
17,217576,229283,,,,,,,,,
17.02,217644,229316,,,,,,,,,
17.04,217557,229310,,,,,,,,,
17.06,217630,229453,,,,,,,,,
17.08,217693,229432,,,,,,,,,
17.1,217610,229522,,,,,,,,,
17.12,217669,229623,,,,,,,,,
17.14,217790,229674,,,,,,,,,
17.16,217688,229676,,,,,,,,,
17.18,217727,229791,,,,,,,,,
17.2,217808,229870,,,,,,,,,
17.22,217740,229806,,,,,,,,,
17.24,217702,229725,,,,,,,,,
17.26,217698,229516,,,,,,,,,
17.28,217574,229222,,,,,,,,,
17.3,217470,228943,,,,,,,,,
17.32,217443,228710,,,,,,,,,
17.34,217332,228494,,,,,,,,,
17.36,217188,228252,,,,,,,,,
17.38,217218,228126,,,,,,,,,
17.4,217159,227985,,,,,,,,,
17.42,217036,227807,,,,,,,,,
17.44,217084,227690,,,,,,,,,
17.46,217084,227636,,,,,,,,,
17.48,217044,227636,,,,,,,,,
17.5,217118,227668,,,,,,,,,
17.52,217059,227686,,,,,,,,,
17.54,217076,227703,,,,,,,,,
17.56,217085,227692,,,,,,,,,
17.58,217118,227699,,,,,,,,,
17.6,217082,227702,,,,,,,,,
17.62,217121,227711,,,,,,,,,
17.64,217084,227707,,,,,,,,,
17.66,217258,227808,,,,,,,,,
17.68,217086,227873,,,,,,,,,
17.7,217249,227866,,,,,,,,,
17.72,217148,227898,,,,,,,,,
17.74,217233,227996,,,,,,,,,
17.76,217176,228052,,,,,,,,,
17.78,217272,228083,,,,,,,,,
17.8,217238,228102,,,,,,,,,
17.82,217275,228272,,,,,,,,,
17.84,217410,228208,,,,,,,,,
17.86,217261,228320,,,,,,,,,
17.88,217324,228308,,,,,,,,,
17.9,217471,228405,,,,,,,,,
17.92,217291,228513,,,,,,,,,
17.94,217380,228540,,,,,,,,,
17.96,217557,228587,,,,,,,,,
17.98,217464,228657,,,,,,,,,
18,217446,228753,,,,,,,,,
18.02,217609,228804,,,,,,,,,
18.04,217452,228870,,,,,,,,,
18.06,217514,228987,,,,,,,,,
18.08,217649,228976,,,,,,,,,
18.1,217496,229067,,,,,,,,,
18.12,217579,229105,,,,,,,,,
18.14,217662,229177,,,,,,,,,
18.16,217550,229278,,,,,,,,,
18.18,217664,229312,,,,,,,,,
18.2,217657,229401,,,,,,,,,
18.22,217651,229399,,,,,,,,,
18.24,217742,229521,,,,,,,,,
18.26,217778,229531,,,,,,,,,
18.28,217681,229431,,,,,,,,,
18.3,217714,229306,,,,,,,,,
18.32,217584,228984,,,,,,,,,
18.34,217478,228703,,,,,,,,,
18.36,217456,228381,,,,,,,,,
18.38,217336,228190,,,,,,,,,
18.4,217257,228051,,,,,,,,,
18.42,217291,227774,,,,,,,,,
18.44,217193,227646,,,,,,,,,
18.46,217063,227569,,,,,,,,,
18.48,217147,227361,,,,,,,,,
18.5,217004,227283,,,,,,,,,
18.52,217057,227299,,,,,,,,,
18.54,217000,227330,,,,,,,,,
18.56,217090,227358,,,,,,,,,
18.58,217040,227383,,,,,,,,,
18.6,217086,227386,,,,,,,,,
18.62,217052,227367,,,,,,,,,
18.64,217094,227389,,,,,,,,,
18.66,217068,227404,,,,,,,,,
18.68,217137,227389,,,,,,,,,
18.7,217102,227499,,,,,,,,,
18.72,217143,227506,,,,,,,,,
18.74,217127,227563,,,,,,,,,
18.76,217171,227608,,,,,,,,,
18.78,217276,227678,,,,,,,,,
18.8,217108,227821,,,,,,,,,
18.82,217336,227785,,,,,,,,,
18.84,217172,227812,,,,,,,,,
18.86,217283,227914,,,,,,,,,
18.88,217296,227908,,,,,,,,,
18.9,217276,228081,,,,,,,,,
18.92,217419,228053,,,,,,,,,
18.94,217360,228174,,,,,,,,,
18.96,217341,228188,,,,,,,,,
18.98,217412,228264,,,,,,,,,
19,217352,228345,,,,,,,,,
19.02,217412,228393,,,,,,,,,
19.04,217497,228473,,,,,,,,,
19.06,217434,228473,,,,,,,,,
19.08,217503,228612,,,,,,,,,
19.1,217516,228684,,,,,,,,,
19.12,217479,228772,,,,,,,,,
19.14,217622,228834,,,,,,,,,
19.16,217584,228833,,,,,,,,,
19.18,217570,228958,,,,,,,,,
19.2,217687,229047,,,,,,,,,
19.22,217645,229044,,,,,,,,,
19.24,217634,229233,,,,,,,,,
19.26,217777,229220,,,,,,,,,
19.28,217692,229166,,,,,,,,,
19.3,217672,229057,,,,,,,,,
19.32,217664,228775,,,,,,,,,
19.34,217461,228374,,,,,,,,,
19.36,217382,228124,,,,,,,,,
19.38,217333,227856,,,,,,,,,
19.4,217166,227632,,,,,,,,,
19.42,217058,227438,,,,,,,,,
19.44,217090,227260,,,,,,,,,
19.46,216989,227014,,,,,,,,,
19.48,216938,226939,,,,,,,,,
19.5,216953,226844,,,,,,,,,
19.52,216894,226856,,,,,,,,,
19.54,216963,226881,,,,,,,,,
19.56,216919,226929,,,,,,,,,
19.58,217004,226952,,,,,,,,,
19.6,216944,226938,,,,,,,,,
19.62,217002,226942,,,,,,,,,
19.64,216975,226911,,,,,,,,,
19.66,217026,226936,,,,,,,,,
19.68,216975,226960,,,,,,,,,
19.7,217036,226972,,,,,,,,,
19.72,216978,227088,,,,,,,,,
19.74,217069,227109,,,,,,,,,
19.76,217051,227158,,,,,,,,,
19.78,217056,227150,,,,,,,,,
19.8,217221,227291,,,,,,,,,
19.82,217011,227389,,,,,,,,,
19.84,217225,227375,,,,,,,,,
19.86,217090,227417,,,,,,,,,
19.88,217190,227511,,,,,,,,,
19.9,217186,227523,,,,,,,,,
19.92,217188,227715,,,,,,,,,
19.94,217336,227675,,,,,,,,,
19.96,217252,227740,,,,,,,,,
19.98,217227,227953,,,,,,,,,
20,217418,227862,,,,,,,,,
20.02,217311,227953,,,,,,,,,
20.04,217301,228006,,,,,,,,,
20.06,217477,228086,,,,,,,,,
20.08,217378,228162,,,,,,,,,
20.1,217372,228171,,,,,,,,,
20.12,217515,228267,,,,,,,,,
20.14,217339,228363,,,,,,,,,
20.16,217444,228417,,,,,,,,,
20.18,217472,228505,,,,,,,,,
20.2,217413,228536,,,,,,,,,
20.22,217537,228629,,,,,,,,,
20.24,217528,228693,,,,,,,,,
20.26,217474,228603,,,,,,,,,
20.28,217530,228499,,,,,,,,,
20.3,217402,228121,,,,,,,,,
20.32,217277,227817,,,,,,,,,
20.34,217283,227433,,,,,,,,,
20.36,217120,227202,,,,,,,,,
20.38,217011,226988,,,,,,,,,
20.4,217006,226685,,,,,,,,,
20.42,216863,226504,,,,,,,,,
20.44,216756,226405,,,,,,,,,
20.46,216862,226165,,,,,,,,,
20.48,216678,226055,,,,,,,,,
20.5,216734,226019,,,,,,,,,
20.52,216674,226059,,,,,,,,,
20.54,216782,226109,,,,,,,,,
20.56,216717,226167,,,,,,,,,
20.58,216814,226132,,,,,,,,,
20.6,216726,226175,,,,,,,,,
20.62,216812,226145,,,,,,,,,
20.64,216721,226180,,,,,,,,,
20.66,216834,226194,,,,,,,,,
20.68,216723,226205,,,,,,,,,
20.7,216805,226269,,,,,,,,,
20.72,216748,226343,,,,,,,,,
20.74,216841,226374,,,,,,,,,
20.76,216869,226413,,,,,,,,,
20.78,216849,226446,,,,,,,,,
20.8,216990,226591,,,,,,,,,
20.82,216878,226672,,,,,,,,,
20.84,216983,226676,,,,,,,,,
20.86,216857,226797,,,,,,,,,
20.88,216961,226815,,,,,,,,,
20.9,216996,226879,,,,,,,,,
20.92,216956,226928,,,,,,,,,
20.94,217082,227032,,,,,,,,,
20.96,217042,227034,,,,,,,,,
20.98,217080,227179,,,,,,,,,
21,217135,227221,,,,,,,,,
21.02,217087,227249,,,,,,,,,
21.04,217148,227421,,,,,,,,,
21.06,217225,227458,,,,,,,,,
21.08,217159,227442,,,,,,,,,
21.1,217219,227555,,,,,,,,,
21.12,217269,227636,,,,,,,,,
21.14,217229,227677,,,,,,,,,
21.16,217215,227793,,,,,,,,,
21.18,217324,227849,,,,,,,,,
21.2,217292,227865,,,,,,,,,
21.22,217360,227979,,,,,,,,,
21.24,217400,228075,,,,,,,,,
21.26,217379,228095,,,,,,,,,
21.28,217352,228173,,,,,,,,,
21.3,217431,228144,,,,,,,,,
21.32,217355,227983,,,,,,,,,
21.34,217222,227640,,,,,,,,,
21.36,217185,227293,,,,,,,,,
21.38,217019,226922,,,,,,,,,
21.4,216880,226576,,,,,,,,,
21.42,216847,226313,,,,,,,,,
21.44,216760,226084,,,,,,,,,
21.46,216618,225804,,,,,,,,,
21.48,216627,225651,,,,,,,,,
21.5,216551,225481,,,,,,,,,
21.52,216423,225360,,,,,,,,,
21.54,216498,225246,,,,,,,,,
21.56,216466,225299,,,,,,,,,
21.58,216516,225350,,,,,,,,,
21.6,216450,225439,,,,,,,,,
21.62,216555,225425,,,,,,,,,
21.64,216488,225471,,,,,,,,,
21.66,216561,225470,,,,,,,,,
21.68,216541,225503,,,,,,,,,
21.7,216589,225477,,,,,,,,,
21.72,216470,225573,,,,,,,,,
21.74,216606,225628,,,,,,,,,
21.76,216632,225659,,,,,,,,,
21.78,216606,225676,,,,,,,,,
21.8,216791,225824,,,,,,,,,
21.82,216659,225911,,,,,,,,,
21.84,216761,225940,,,,,,,,,
21.86,216662,226035,,,,,,,,,
21.88,216748,226072,,,,,,,,,
21.9,216803,226173,,,,,,,,,
21.92,216728,226227,,,,,,,,,
21.94,216846,226314,,,,,,,,,
21.96,216790,226319,,,,,,,,,
21.98,216890,226443,,,,,,,,,
22,216947,226464,,,,,,,,,
22.02,216915,226577,,,,,,,,,
22.04,216895,226755,,,,,,,,,
22.06,217082,226660,,,,,,,,,
22.08,216956,226759,,,,,,,,,
22.1,217015,226905,,,,,,,,,
22.12,217090,226974,,,,,,,,,
22.14,217062,226985,,,,,,,,,
22.16,217110,227146,,,,,,,,,
22.18,217160,227204,,,,,,,,,
22.2,217104,227205,,,,,,,,,
22.22,217187,227330,,,,,,,,,
22.24,217257,227422,,,,,,,,,
22.26,217180,227424,,,,,,,,,
22.28,217250,227557,,,,,,,,,
22.3,217304,227632,,,,,,,,,
22.32,217234,227665,,,,,,,,,
22.34,217338,227769,,,,,,,,,
22.36,217369,227744,,,,,,,,,
22.38,217306,227757,,,,,,,,,
22.4,217251,227622,,,,,,,,,
22.42,217283,227240,,,,,,,,,
22.44,217004,226794,,,,,,,,,
22.46,216949,226510,,,,,,,,,
22.48,216867,226197,,,,,,,,,
22.5,216690,225851,,,,,,,,,
22.52,216644,225690,,,,,,,,,
22.54,216617,225524,,,,,,,,,
22.56,216486,225253,,,,,,,,,
22.58,216467,225147,,,,,,,,,
22.6,216463,225043,,,,,,,,,
22.62,216301,225000,,,,,,,,,
22.64,216407,225031,,,,,,,,,
22.66,216311,225109,,,,,,,,,
22.68,216437,225120,,,,,,,,,
22.7,216374,225156,,,,,,,,,
22.72,216462,225156,,,,,,,,,
22.74,216345,225180,,,,,,,,,
22.76,216479,225164,,,,,,,,,
22.78,216443,225211,,,,,,,,,
22.8,216489,225255,,,,,,,,,
22.82,216553,225245,,,,,,,,,
22.84,216482,225478,,,,,,,,,
22.86,216674,225423,,,,,,,,,
22.88,216536,225496,,,,,,,,,
22.9,216652,225526,,,,,,,,,
22.92,216598,225654,,,,,,,,,
22.94,216660,225708,,,,,,,,,
22.96,216686,225774,,,,,,,,,
22.98,216665,225885,,,,,,,,,
23,216776,225863,,,,,,,,,
23.02,216681,226012,,,,,,,,,
23.04,216742,226060,,,,,,,,,
23.06,216918,226108,,,,,,,,,
23.08,216799,226202,,,,,,,,,
23.1,216806,226390,,,,,,,,,
23.12,216995,226299,,,,,,,,,
23.14,216930,226417,,,,,,,,,
23.16,216883,226618,,,,,,,,,
23.18,217048,226531,,,,,,,,,
23.2,216966,226656,,,,,,,,,
23.22,216977,226812,,,,,,,,,
23.24,217119,226805,,,,,,,,,
23.26,217053,226838,,,,,,,,,
23.28,217099,226997,,,,,,,,,
23.3,217168,227050,,,,,,,,,
23.32,217126,227038,,,,,,,,,
23.34,217175,227217,,,,,,,,,
23.36,217230,227279,,,,,,,,,
23.38,217238,227306,,,,,,,,,
23.4,217239,227468,,,,,,,,,
23.42,217295,227486,,,,,,,,,
23.44,217209,227347,,,,,,,,,
23.46,217152,227170,,,,,,,,,
23.48,217152,226863,,,,,,,,,
23.5,216951,226456,,,,,,,,,
23.52,216835,226146,,,,,,,,,
23.54,216780,225855,,,,,,,,,
23.56,216629,225548,,,,,,,,,
23.58,216541,225367,,,,,,,,,
23.6,216534,225182,,,,,,,,,
23.62,216433,224973,,,,,,,,,
23.64,216313,224771,,,,,,,,,
23.66,216367,224701,,,,,,,,,
23.68,216341,224701,,,,,,,,,
23.7,216387,224762,,,,,,,,,
23.72,216393,224818,,,,,,,,,
23.74,216433,224848,,,,,,,,,
23.76,216369,224900,,,,,,,,,
23.78,216440,224875,,,,,,,,,
23.8,216404,224955,,,,,,,,,
23.82,216452,224917,,,,,,,,,
23.84,216457,225038,,,,,,,,,
23.86,216481,225056,,,,,,,,,
23.88,216442,225122,,,,,,,,,
23.9,216497,225185,,,,,,,,,
23.92,216622,225222,,,,,,,,,
23.94,216484,225456,,,,,,,,,
23.96,216722,225426,,,,,,,,,
23.98,216597,225450,,,,,,,,,
24,216672,225565,,,,,,,,,
24.02,216655,225615,,,,,,,,,
24.04,216668,225713,,,,,,,,,
24.06,216839,225765,,,,,,,,,
24.08,216706,225852,,,,,,,,,
24.1,216757,225884,,,,,,,,,
24.12,216792,225979,,,,,,,,,
24.14,216744,226028,,,,,,,,,
24.16,216868,226116,,,,,,,,,
24.18,216845,226190,,,,,,,,,
24.2,216812,226240,,,,,,,,,
24.22,216924,226373,,,,,,,,,
24.24,216913,226473,,,,,,,,,
24.26,216929,226478,,,,,,,,,
24.28,217003,226600,,,,,,,,,
24.3,217014,226717,,,,,,,,,
24.32,216971,226737,,,,,,,,,
24.34,217097,226859,,,,,,,,,
24.36,217086,226973,,,,,,,,,
24.38,217079,226987,,,,,,,,,
24.4,217172,227096,,,,,,,,,
24.42,217167,227131,,,,,,,,,
24.44,217100,227013,,,,,,,,,
24.46,217098,226740,,,,,,,,,
24.48,216983,226381,,,,,,,,,
24.5,216839,225975,,,,,,,,,
24.52,216762,225678,,,,,,,,,
24.54,216594,225395,,,,,,,,,
24.56,216493,225186,,,,,,,,,
24.58,216475,224903,,,,,,,,,
24.6,216462,224759,,,,,,,,,
24.62,216258,224613,,,,,,,,,
24.64,216284,224399,,,,,,,,,
24.66,216425,224361,,,,,,,,,
24.68,216285,224420,,,,,,,,,
24.7,216476,224489,,,,,,,,,
24.72,216252,224571,,,,,,,,,
24.74,216505,224536,,,,,,,,,
24.76,216306,224604,,,,,,,,,
24.78,216532,224600,,,,,,,,,
24.8,216290,224602,,,,,,,,,
24.82,216535,224621,,,,,,,,,
24.84,216327,224832,,,,,,,,,
24.86,216532,224785,,,,,,,,,
24.88,216413,224869,,,,,,,,,
24.9,216502,224881,,,,,,,,,
24.92,216479,225044,,,,,,,,,
24.94,216552,225097,,,,,,,,,
24.96,216534,225176,,,,,,,,,
24.98,216566,225227,,,,,,,,,
25,216636,225348,,,,,,,,,
25.02,216588,225391,,,,,,,,,
25.04,216672,225482,,,,,,,,,
25.06,216644,225530,,,,,,,,,
25.08,216675,225721,,,,,,,,,
25.1,216848,225704,,,,,,,,,
25.12,216679,225782,,,,,,,,,
25.14,216739,225845,,,,,,,,,
25.16,216942,225934,,,,,,,,,
25.18,216834,226020,,,,,,,,,
25.2,216828,226210,,,,,,,,,
25.22,217005,226159,,,,,,,,,
25.24,216911,226253,,,,,,,,,
25.26,216902,226444,,,,,,,,,
25.28,217090,226403,,,,,,,,,
25.3,216917,226523,,,,,,,,,
25.32,216988,226550,,,,,,,,,
25.34,217144,226646,,,,,,,,,
25.36,217047,226717,,,,,,,,,
25.38,217029,226726,,,,,,,,,
25.4,217133,226358,,,,,,,,,
25.42,216852,226052,,,,,,,,,
25.44,216748,225764,,,,,,,,,
25.46,216777,225320,,,,,,,,,
25.48,216481,225024,,,,,,,,,
25.5,216427,224861,,,,,,,,,
25.52,216482,224496,,,,,,,,,
25.54,216303,224315,,,,,,,,,
25.56,216187,224237,,,,,,,,,
25.58,216312,223948,,,,,,,,,
25.6,216138,223961,,,,,,,,,
25.62,216205,223973,,,,,,,,,
25.64,216199,224014,,,,,,,,,
25.66,216241,224109,,,,,,,,,
25.68,216227,224134,,,,,,,,,
25.7,216266,224139,,,,,,,,,
25.72,216257,224134,,,,,,,,,
25.74,216268,224173,,,,,,,,,
25.76,216260,224208,,,,,,,,,
25.78,216296,224300,,,,,,,,,
25.8,216250,224335,,,,,,,,,
25.82,216334,224388,,,,,,,,,
25.84,216371,224422,,,,,,,,,
25.86,216345,224552,,,,,,,,,
25.88,216540,224632,,,,,,,,,
25.9,216399,224678,,,,,,,,,
25.92,216509,224731,,,,,,,,,
25.94,216408,224843,,,,,,,,,
25.96,216490,224885,,,,,,,,,
25.98,216569,224991,,,,,,,,,
26,216485,225007,,,,,,,,,
26.02,216579,225112,,,,,,,,,
26.04,216564,225107,,,,,,,,,
26.06,216610,225236,,,,,,,,,
26.08,216687,225303,,,,,,,,,
26.1,216638,225380,,,,,,,,,
26.12,216690,225515,,,,,,,,,
26.14,216761,225561,,,,,,,,,
26.16,216714,225590,,,,,,,,,
26.18,216752,225699,,,,,,,,,
26.2,216798,225783,,,,,,,,,
26.22,216798,225844,,,,,,,,,
26.24,216787,225941,,,,,,,,,
26.26,216924,225988,,,,,,,,,
26.28,216878,226096,,,,,,,,,
26.3,216923,226176,,,,,,,,,
26.32,216992,226067,,,,,,,,,
26.34,216822,225735,,,,,,,,,
26.36,216742,225476,,,,,,,,,
26.38,216641,225109,,,,,,,,,
26.4,216470,224767,,,,,,,,,
26.42,216367,224523,,,,,,,,,
26.44,216336,224294,,,,,,,,,
26.46,216209,224118,,,,,,,,,
26.48,216106,223919,,,,,,,,,
26.5,216132,223793,,,,,,,,,
26.52,216077,223714,,,,,,,,,
26.54,215911,223779,,,,,,,,,
26.56,216196,223745,,,,,,,,,
26.58,215955,223914,,,,,,,,,
26.6,216226,223908,,,,,,,,,
26.62,216007,224026,,,,,,,,,
26.64,216258,223979,,,,,,,,,
26.66,216027,224095,,,,,,,,,
26.68,216288,224060,,,,,,,,,
26.7,216078,224206,,,,,,,,,
26.72,216324,224159,,,,,,,,,
26.74,216177,224220,,,,,,,,,
26.76,216282,224247,,,,,,,,,
26.78,216248,224417,,,,,,,,,
26.8,216319,224494,,,,,,,,,
26.82,216300,224590,,,,,,,,,
26.84,216339,224636,,,,,,,,,
26.86,216491,224748,,,,,,,,,
26.88,216373,224868,,,,,,,,,
26.9,216541,224921,,,,,,,,,
26.92,216406,225037,,,,,,,,,
26.94,216477,225108,,,,,,,,,
26.96,216657,225203,,,,,,,,,
26.98,216465,225315,,,,,,,,,
27,216568,225352,,,,,,,,,
27.02,216746,225464,,,,,,,,,
27.04,216562,225570,,,,,,,,,
27.06,216635,225628,,,,,,,,,
27.08,216807,225750,,,,,,,,,
27.1,216693,225867,,,,,,,,,
27.12,216746,226065,,,,,,,,,
27.14,216926,225989,,,,,,,,,
27.16,216809,226135,,,,,,,,,
27.18,216805,226351,,,,,,,,,
27.2,217011,226322,,,,,,,,,
27.22,216887,226429,,,,,,,,,
27.24,216918,226518,,,,,,,,,
27.26,217091,226612,,,,,,,,,
27.28,216977,226661,,,,,,,,,
27.3,216952,226725,,,,,,,,,
27.32,217069,226426,,,,,,,,,
27.34,216858,226196,,,,,,,,,
27.36,216738,225980,,,,,,,,,
27.38,216772,225661,,,,,,,,,
27.4,216577,225477,,,,,,,,,
27.42,216491,225392,,,,,,,,,
27.44,216567,225176,,,,,,,,,
27.46,216402,225027,,,,,,,,,
27.48,216358,224957,,,,,,,,,
27.5,216376,224871,,,,,,,,,
27.52,216197,224846,,,,,,,,,
27.54,216279,224869,,,,,,,,,
27.56,216199,224967,,,,,,,,,
27.58,216322,225028,,,,,,,,,
27.6,216219,225086,,,,,,,,,
27.62,216353,225104,,,,,,,,,
27.64,216238,225161,,,,,,,,,
27.66,216350,225176,,,,,,,,,
27.68,216266,225234,,,,,,,,,
27.7,216382,225271,,,,,,,,,
27.72,216359,225342,,,,,,,,,
27.74,216396,225410,,,,,,,,,
27.76,216571,225497,,,,,,,,,
27.78,216433,225595,,,,,,,,,
27.8,216570,225642,,,,,,,,,
27.82,216458,225731,,,,,,,,,
27.84,216539,225821,,,,,,,,,
27.86,216510,225863,,,,,,,,,
27.88,216537,226078,,,,,,,,,
27.9,216724,226025,,,,,,,,,
27.92,216571,226120,,,,,,,,,
27.94,216642,226159,,,,,,,,,
27.96,216637,226260,,,,,,,,,
27.98,216626,226291,,,,,,,,,
28,216705,226420,,,,,,,,,
28.02,216722,226506,,,,,,,,,
28.04,216710,226545,,,,,,,,,
28.06,216783,226653,,,,,,,,,
28.08,216759,226738,,,,,,,,,
28.1,216771,226756,,,,,,,,,
28.12,216868,226904,,,,,,,,,
28.14,216868,227011,,,,,,,,,
28.16,216840,227061,,,,,,,,,
28.18,216925,227156,,,,,,,,,
28.2,216949,227235,,,,,,,,,
28.22,216884,227308,,,,,,,,,
28.24,216981,227404,,,,,,,,,
28.26,217077,227472,,,,,,,,,
28.28,216951,227592,,,,,,,,,
28.3,217056,227594,,,,,,,,,
28.32,217225,227645,,,,,,,,,
28.34,217002,227602,,,,,,,,,
28.36,217008,227389,,,,,,,,,
28.38,217062,227191,,,,,,,,,
28.4,216816,227033,,,,,,,,,
28.42,216784,226864,,,,,,,,,
28.44,216901,226780,,,,,,,,,
28.46,216703,226698,,,,,,,,,
28.48,216650,226714,,,,,,,,,
28.5,216776,226472,,,,,,,,,
28.52,216599,226452,,,,,,,,,
28.54,216550,226506,,,,,,,,,
28.56,216698,226432,,,,,,,,,
28.58,216451,226561,,,,,,,,,
28.6,216697,226524,,,,,,,,,
28.62,216480,226664,,,,,,,,,
28.64,216712,226594,,,,,,,,,
28.66,216481,226688,,,,,,,,,
28.68,216693,226644,,,,,,,,,
28.7,216539,226736,,,,,,,,,
28.72,216729,226701,,,,,,,,,
28.74,216572,226756,,,,,,,,,
28.76,216686,226790,,,,,,,,,
28.78,216613,226792,,,,,,,,,
28.8,216672,226919,,,,,,,,,
28.82,216602,226978,,,,,,,,,
28.84,216692,227008,,,,,,,,,
28.86,216744,227017,,,,,,,,,
28.88,216677,227147,,,,,,,,,
28.9,216857,227211,,,,,,,,,
28.92,216690,227297,,,,,,,,,
28.94,216779,227345,,,,,,,,,
28.96,216803,227338,,,,,,,,,
28.98,216793,227553,,,,,,,,,
29,216938,227526,,,,,,,,,
29.02,216866,227583,,,,,,,,,
29.04,216849,227785,,,,,,,,,
29.06,217035,227681,,,,,,,,,
29.08,216931,227804,,,,,,,,,
29.1,216920,227975,,,,,,,,,
